"","ENCFF012JXJ","ENCFF014RBU","ENCFF027VZK","ENCFF030NYG","ENCFF048JKT","ENCFF066XDW","ENCFF083KVY","ENCFF100ERQ","ENCFF103IOJ","ENCFF116EXQ","ENCFF127GYQ","ENCFF166OZW","ENCFF195PBG","ENCFF199FYD","ENCFF199WGD","ENCFF215YWS","ENCFF261ZWR","ENCFF303TVZ","ENCFF305ICK","ENCFF306SRV","ENCFF328QLX","ENCFF332PGQ","ENCFF339KUO","ENCFF341HWZ","ENCFF372DRC","ENCFF391DVL","ENCFF394DLH","ENCFF414JLN","ENCFF433PFN","ENCFF455YHJ","ENCFF461FGJ","ENCFF490VYC","ENCFF492YMU","ENCFF534CKB","ENCFF556JBS","ENCFF556PIY","ENCFF557HJB","ENCFF609KOY","ENCFF632MBO","ENCFF677KJB","ENCFF689AXJ","ENCFF710VEH","ENCFF711OSR","ENCFF721SDD","ENCFF761MGJ","ENCFF807AKG","ENCFF817QHW","ENCFF833FTF","ENCFF868VSY","ENCFF909FRA","ENCFF931XAL","ENCFF939TZS","ENCFF967ACD","ENCFF976ZVG"
"-250","0.6813740","0.5022548","0.5354128","0.6219914","0.6598878","0.7461810","0.7551345","0.6231773","0.6348224","0.4953639","0.3362987","0.5411085","0.7104774","0.6023432","0.7161769","0.6448773","0.5069838","0.7544225","0.4131426","0.4918583","0.4764495","0.7159171","0.6148506","0.7784724","0.6859752","0.5070380","0.5927335","0.7765217","0.7645760","0.4418235","0.6705780","0.6064241","0.6228911","0.5768523","0.7614011","0.5732279","0.7642740","0.5202528","0.5803911","0.6320915","0.4151200","0.5317549","0.7666614","0.4898733","0.5686598","0.6234255","0.7577738","0.5229468","0.5323849","0.4895080","0.8027514","0.3898633","0.6454268","0.7815483"
"-249","0.6822811","0.5029594","0.5359904","0.6220758","0.6598878","0.7459757","0.7556821","0.6247122","0.6348224","0.4968881","0.3355229","0.5412009","0.7117173","0.6028563","0.7174685","0.6451441","0.5076611","0.7549428","0.4128317","0.4916299","0.4768476","0.7159953","0.6153162","0.7782770","0.6871494","0.5075546","0.5934185","0.7765217","0.7650177","0.4402332","0.6701434","0.6067179","0.6233351","0.5774856","0.7627747","0.5745679","0.7642740","0.5205148","0.5806566","0.6317823","0.4148182","0.5320758","0.7668204","0.4907879","0.5698969","0.6240821","0.7577738","0.5236578","0.5325653","0.4901192","0.8037202","0.3902146","0.6452109","0.7817603"
"-248","0.6828172","0.5035231","0.5366125","0.6225826","0.6612903","0.7460989","0.7563393","0.6258634","0.6337460","0.4979042","0.3355229","0.5415704","0.7131639","0.6027708","0.7171456","0.6424760","0.5077457","0.7570239","0.4128317","0.4919268","0.4768033","0.7165428","0.6153586","0.7798398","0.6867580","0.5078989","0.5938201","0.7765217","0.7639134","0.4394381","0.6705780","0.6068648","0.6227135","0.5771237","0.7640110","0.5744339","0.7654333","0.5203183","0.5803911","0.6313186","0.4151200","0.5322133","0.7666614","0.4894812","0.5707216","0.6245000","0.7597544","0.5242707","0.5328230","0.4908322","0.8039140","0.3901268","0.6461015","0.7836691"
"-247","0.6831059","0.5033822","0.5369235","0.6229204","0.6612903","0.7466738","0.7565584","0.6266309","0.6356297","0.4981583","0.3352643","0.5420785","0.7139905","0.6029418","0.7181143","0.6448773","0.5080843","0.7575442","0.4118988","0.4921780","0.4770687","0.7168557","0.6154009","0.7792538","0.6863666","0.5076837","0.5941272","0.7791304","0.7647968","0.4386430","0.6718818","0.6077951","0.6218256","0.5776967","0.7642857","0.5749699","0.7653367","0.5204820","0.5800372","0.6316278","0.4151200","0.5321446","0.7669795","0.4893506","0.5719588","0.6250373","0.7603486","0.5244913","0.5330807","0.4913416","0.8044953","0.3899804","0.6467493","0.7836691"
"-246","0.6828584","0.5050733","0.5374567","0.6226670","0.6607644","0.7470434","0.7567227","0.6270146","0.6353606","0.4982853","0.3354195","0.5418014","0.7148171","0.6039680","0.7174685","0.6451441","0.5091001","0.7591051","0.4122098","0.4918812","0.4771571","0.7166210","0.6156549","0.7810119","0.6875408","0.5078128","0.5946706","0.7800000","0.7656802","0.4397032","0.6740548","0.6084806","0.6223584","0.5773047","0.7653846","0.5734959","0.7663994","0.5207767","0.5794178","0.6327098","0.4151200","0.5322592","0.7679338","0.4903959","0.5727835","0.6255149","0.7617350","0.5242707","0.5330292","0.4916471","0.8066266","0.3898633","0.6466683","0.7840933"
"-245","0.6833120","0.5038050","0.5377677","0.6235960","0.6607644","0.7473719","0.7569965","0.6273983","0.6324004","0.4981583","0.3358332","0.5417090","0.7150238","0.6051653","0.7187601","0.6432764","0.5090155","0.7606660","0.4117952","0.4921552","0.4770687","0.7170121","0.6167556","0.7812073","0.6871494","0.5084155","0.5956155","0.7791304","0.7659011","0.4394381","0.6753585","0.6089703","0.6219144","0.5777570","0.7656593","0.5737639","0.7665926","0.5207440","0.5790638","0.6347194","0.4164780","0.5321217","0.7680929","0.4914413","0.5740206","0.6258731","0.7624282","0.5241481","0.5335189","0.4918509","0.8072079","0.3899804","0.6468572","0.7845175"
"-244","0.6842604","0.5033822","0.5375900","0.6239338","0.6609397","0.7479468","0.7571609","0.6285495","0.6332078","0.4987933","0.3363505","0.5415242","0.7146105","0.6052080","0.7187601","0.6446105","0.5093541","0.7622268","0.4117952","0.4923151","0.4776436","0.7177161","0.6166286","0.7815980","0.6881931","0.5089751","0.5958281","0.7791304","0.7661219","0.4383779","0.6744894","0.6087255","0.6227135","0.5777872","0.7652473","0.5725580","0.7677519","0.5211369","0.5794178","0.6350286","0.4172325","0.5323967","0.7696835","0.4907879","0.5748454","0.6262611","0.7632204","0.5245158","0.5339828","0.4920037","0.8074017","0.3900389","0.6473430","0.7851538"
"-243","0.6850439","0.5021139","0.5382565","0.6225826","0.6621669","0.7479878","0.7576538","0.6289332","0.6329386","0.4996825","0.3365056","0.5412933","0.7152304","0.6056356","0.7197288","0.6451441","0.5097774","0.7617066","0.4128317","0.4925434","0.4783955","0.7184982","0.6170096","0.7812073","0.6879322","0.5094486","0.5960880","0.7808696","0.7667845","0.4378479","0.6740548","0.6085786","0.6235127","0.5780586","0.7645604","0.5733619","0.7681383","0.5212679","0.5788868","0.6359561","0.4160254","0.5328780","0.7704788","0.4913106","0.5764948","0.6263805","0.7642107","0.5248100","0.5337766","0.4916471","0.8072079","0.3898047","0.6481526","0.7847296"
"-242","0.6860748","0.5018320","0.5385675","0.6226670","0.6614656","0.7487270","0.7578181","0.6300844","0.6329386","0.5000635","0.3361436","0.5417552","0.7150238","0.6062770","0.7206974","0.6451441","0.5104546","0.7617066","0.4132463","0.4928175","0.4786608","0.7184200","0.6170096","0.7812073","0.6872798","0.5104817","0.5965604","0.7834783","0.7676678","0.4373178","0.6753585","0.6093130","0.6237791","0.5785109","0.7641484","0.5733619","0.7683316","0.5218246","0.5798602","0.6373473","0.4160254","0.5333135","0.7719103","0.4901346","0.5748454","0.6266790","0.7649039","0.5246384","0.5336220","0.4924111","0.8083705","0.3898633","0.6480717","0.7851538"
"-241","0.6861160","0.5012683","0.5394561","0.6230893","0.6621669","0.7492608","0.7586943","0.6312356","0.6324004","0.5001905","0.3360919","0.5425404","0.7162637","0.6063625","0.7194059","0.6448773","0.5102853","0.7601457","0.4133499","0.4927718","0.4790589","0.7184200","0.6172212","0.7810119","0.6894977","0.5110413","0.5964423","0.7826087","0.7689929","0.4381129","0.6757931","0.6095089","0.6241343","0.5785411","0.7652473","0.5742999","0.7698773","0.5219555","0.5800372","0.6381203","0.4164780","0.5335656","0.7720693","0.4900039","0.5773196","0.6267984","0.7668845","0.5249571","0.5334158","0.4922074","0.8074017","0.3902732","0.6488274","0.7847296"
