File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF534CKB	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR839XZU	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	CREM	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF510TYC/, /files/ENCFF263KGZ/, /files/ENCFF874IMP/	555303	ENCODE Processing Pipeline	9bde60dc90e039a208a7b9b7abedd50c	NA	https://www.encodeproject.org/files/ENCFF534CKB/@@download/ENCFF534CKB.bed.gz	NA	NA	NA	released	s3://encode-public/2016/11/16/f3670165-dad3-4686-a806-2c9e911f2849/ENCFF534CKB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/16/f3670165-dad3-4686-a806-2c9e911f2849/ENCFF534CKB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read depth, antibody characterized with exemption	NA	NA
ENCFF303TVZ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZX	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	IRF3	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF271PVK/, /files/ENCFF434CQV/, /files/ENCFF001TDO/, /files/ENCFF678BIU/	36479	ENCODE Processing Pipeline	814f0bb635cc8a5600eb2018921ab663	NA	https://www.encodeproject.org/files/ENCFF303TVZ/@@download/ENCFF303TVZ.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/20/8675c3c7-3415-4893-8229-f8394555b544/ENCFF303TVZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/20/8675c3c7-3415-4893-8229-f8394555b544/ENCFF303TVZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, improper control_type of control experiment, low read depth	NA	NA
ENCFF261ZWR	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BNG	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF2C	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF515LFS/, /files/ENCFF815LEF/, /files/ENCFF099MXC/	204157	ENCODE Processing Pipeline	8b99923b94fbef4a4366487ff0ed48f3	NA	https://www.encodeproject.org/files/ENCFF261ZWR/@@download/ENCFF261ZWR.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/07/c2cbd16d-f0dc-41d0-92b0-82db702e86a7/ENCFF261ZWR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/07/c2cbd16d-f0dc-41d0-92b0-82db702e86a7/ENCFF261ZWR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, low read depth, moderate library complexity	insufficient replicate concordance, insufficient read depth	NA
ENCFF556JBS	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZB	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ELK1	DNA	NA	NA	NA	NA	NA	2012-05-14	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF304FFB/, /files/ENCFF001TDO/, /files/ENCFF457WBU/, /files/ENCFF839VSW/	137008	ENCODE Processing Pipeline	8a3f9f934ad6fb0dc377fb2d047121b3	NA	https://www.encodeproject.org/files/ENCFF556JBS/@@download/ENCFF556JBS.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/19/c18f89eb-b64c-4c33-9450-35bd90fbc420/ENCFF556JBS.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/19/c18f89eb-b64c-4c33-9450-35bd90fbc420/ENCFF556JBS.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth	NA	NA
ENCFF868VSY	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZQ	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	EBF1	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF583XLS/, /files/ENCFF001TDO/, /files/ENCFF248VST/, /files/ENCFF097DVZ/	673345	ENCODE Processing Pipeline	f0b989cb4493c1a9afb342953149b247	NA	https://www.encodeproject.org/files/ENCFF868VSY/@@download/ENCFF868VSY.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/19/8b561673-2864-4a14-8767-1588a1805729/ENCFF868VSY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/19/8b561673-2864-4a14-8767-1588a1805729/ENCFF868VSY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, low read depth	control insufficient read depth	NA
ENCFF328QLX	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BKB	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF2A	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF099ZTD/, /files/ENCFF951TLZ/, /files/ENCFF980AUY/	367975	ENCODE Processing Pipeline	cff7dbd079130eb4d37ffab592deaa84	NA	https://www.encodeproject.org/files/ENCFF328QLX/@@download/ENCFF328QLX.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/b48f31c0-9619-48b0-bb05-705e44a55c9b/ENCFF328QLX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/b48f31c0-9619-48b0-bb05-705e44a55c9b/ENCFF328QLX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, low read depth, moderate library complexity	insufficient read depth	NA
ENCFF391DVL	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BGY	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	IRF4	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF713DPM/, /files/ENCFF947MLS/, /files/ENCFF379LXD/	370386	ENCODE Processing Pipeline	0a0c836f56faf01dc5a94b69720edee9	NA	https://www.encodeproject.org/files/ENCFF391DVL/@@download/ENCFF391DVL.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/14211c2c-06e5-4580-b08d-33522c42b8bb/ENCFF391DVL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/14211c2c-06e5-4580-b08d-33522c42b8bb/ENCFF391DVL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, low read depth	NA	NA
ENCFF083KVY	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZF	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	MAX	DNA	NA	NA	NA	NA	NA	2012-05-14	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF974XPG/, /files/ENCFF173DKW/, /files/ENCFF694JRS/, /files/ENCFF001TDO/	337281	ENCODE Processing Pipeline	951409976105220a24dc6e8cf17d2090	NA	https://www.encodeproject.org/files/ENCFF083KVY/@@download/ENCFF083KVY.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/20/d0df2147-02b4-4008-b514-28e30687a563/ENCFF083KVY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/20/d0df2147-02b4-4008-b514-28e30687a563/ENCFF083KVY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth	NA	NA
ENCFF332PGQ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BKA	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ETS1	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF570ZKC/, /files/ENCFF883DUG/, /files/ENCFF075PCI/	223403	ENCODE Processing Pipeline	e5bebc61c5e4cd79bae1c050a283c860	NA	https://www.encodeproject.org/files/ENCFF332PGQ/@@download/ENCFF332PGQ.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/340ef061-c397-40cc-8879-972c0a89dc41/ENCFF332PGQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/340ef061-c397-40cc-8879-972c0a89dc41/ENCFF332PGQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read length, borderline replicate concordance, low read depth, moderate library complexity	NA	NA
ENCFF461FGJ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BJD	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	RXRA	DNA	NA	NA	NA	NA	NA	2011-07-18	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF222RUB/, /files/ENCFF001TDO/, /files/ENCFF455MUC/, /files/ENCFF595JYV/	37777	ENCODE Processing Pipeline	47844d64dbbeff89ad267f2a4b329b58	NA	https://www.encodeproject.org/files/ENCFF461FGJ/@@download/ENCFF461FGJ.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/08/d2cd3d23-7892-4b09-bad3-de427a7b55db/ENCFF461FGJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/08/d2cd3d23-7892-4b09-bad3-de427a7b55db/ENCFF461FGJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking	poor library complexity, insufficient read depth, severe bottlenecking	NA
