File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF002DDJ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DWE	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	CTCF	DNA	NA	NA	NA	NA	NA	2011-03-17	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001HTC/, /files/ENCFF001HTD/	869756	ENCODE Consortium Analysis Working Group	8e9f23cdfc27292f8fc0f0b302cd296a	NA	https://www.encodeproject.org/files/ENCFF002DDJ/@@download/ENCFF002DDJ.bed.gz	NA	NA	NA	released	s3://encode-public/2014/06/06/89a522b5-44fc-4d96-96aa-62577b5921fa/ENCFF002DDJ.narrowPeak.gz	https://datasetencode.blob.core.windows.net/dataset/2014/06/06/89a522b5-44fc-4d96-96aa-62577b5921fa/ENCFF002DDJ.narrowPeak.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19	archived	mild to moderate bottlenecking, low read length, inconsistent platforms, control low read depth, low read depth	poor library complexity, insufficient read depth, severe bottlenecking	NA
ENCFF019PEL	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EFU	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	ELK1	DNA	NA	NA	NA	NA	NA	2012-08-20	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF670YGF/, /files/ENCFF001TDO/, /files/ENCFF324CAS/, /files/ENCFF390VNW/	72723	ENCODE Processing Pipeline	6bef1c87b6be232eb240e302cc14670d	NA	https://www.encodeproject.org/files/ENCFF019PEL/@@download/ENCFF019PEL.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/09/d5e8c80f-187f-49fd-8054-ebe5733ea1f2/ENCFF019PEL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/09/d5e8c80f-187f-49fd-8054-ebe5733ea1f2/ENCFF019PEL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth	NA	NA
ENCFF312RFN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR888XZK	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCF7L2	DNA	NA	NA	NA	NA	NA	2016-07-28	ENCODE	NA	NA	150-350	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF274DVQ/, /files/ENCFF975NRI/, /files/ENCFF001TDO/, /files/ENCFF060XZX/	34454	ENCODE Processing Pipeline	0d2abc09baae3bbab2319c87770d5ba6	NA	https://www.encodeproject.org/files/ENCFF312RFN/@@download/ENCFF312RFN.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/05/be3e7c83-3598-47fb-a43e-4b215272dc27/ENCFF312RFN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/05/be3e7c83-3598-47fb-a43e-4b215272dc27/ENCFF312RFN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, mild to moderate bottlenecking, low read depth, moderate library complexity	NA	NA
ENCFF659WAF	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR343ELW	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	LEF1	DNA	NA	NA	NA	NA	NA	2016-07-05	ENCODE	NA	NA	450-650	3, 4	3_1, 4_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF421AHE/, /files/ENCFF857NTV/, /files/ENCFF506NOD/	338164	ENCODE Processing Pipeline	17a9dcb21ebd4ab5fd04becd0fe896f9	NA	https://www.encodeproject.org/files/ENCFF659WAF/@@download/ENCFF659WAF.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/05/c870d47a-0469-4dda-8404-1af508e3f35e/ENCFF659WAF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/05/c870d47a-0469-4dda-8404-1af508e3f35e/ENCFF659WAF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking	NA	NA
ENCFF676NPW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR091JXL	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	HES1	DNA	NA	NA	NA	NA	NA	2016-07-08	ENCODE	NA	NA	450-650	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF222PPL/, /files/ENCFF001TDO/, /files/ENCFF786MKH/, /files/ENCFF860KMP/	171892	ENCODE Processing Pipeline	b2426299acedb3521638e6d425f68ba5	NA	https://www.encodeproject.org/files/ENCFF676NPW/@@download/ENCFF676NPW.bed.gz	NA	NA	NA	released	s3://encode-public/2017/03/05/b4288569-5bf4-40d0-b99a-9bbe5c26bddf/ENCFF676NPW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/05/b4288569-5bf4-40d0-b99a-9bbe5c26bddf/ENCFF676NPW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	mild to moderate bottlenecking, low read depth, moderate library complexity	NA	NA
ENCFF557DSM	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EWF	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	YY1	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF228AYO/, /files/ENCFF001TDO/, /files/ENCFF211PND/, /files/ENCFF899XEM/	93049	ENCODE Processing Pipeline	cf8ffec94a9b83f40812443c565a6a17	NA	https://www.encodeproject.org/files/ENCFF557DSM/@@download/ENCFF557DSM.bed.gz	NA	NA	NA	released	s3://encode-public/2017/02/14/f2ad69e3-107e-4679-bf81-43607b40f54f/ENCFF557DSM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/14/f2ad69e3-107e-4679-bf81-43607b40f54f/ENCFF557DSM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	borderline replicate concordance	insufficient read length, insufficient read depth	NA
ENCFF482CEV	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EHB	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	TAL1	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF056GMV/, /files/ENCFF001TDO/, /files/ENCFF028EAN/, /files/ENCFF567HZK/	504630	ENCODE Processing Pipeline	64b1a7c24e3ca92449341ced85c8cbed	NA	https://www.encodeproject.org/files/ENCFF482CEV/@@download/ENCFF482CEV.bed.gz	NA	NA	NA	released	s3://encode-public/2017/07/14/d69133b1-72f9-4b0a-8370-9c1041ea7a96/ENCFF482CEV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/07/14/d69133b1-72f9-4b0a-8370-9c1041ea7a96/ENCFF482CEV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth	NA	NA
ENCFF948TXN	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR077DKV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	CREM	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF477IXW/, /files/ENCFF045SMN/, /files/ENCFF357OAA/	627991	ENCODE Processing Pipeline	faf8f9d6ef509ef17dd410cd21d30238	NA	https://www.encodeproject.org/files/ENCFF948TXN/@@download/ENCFF948TXN.bed.gz	NA	NA	NA	released	s3://encode-public/2016/11/16/d6da84a7-8a68-42a6-ac90-0e63b2cb591f/ENCFF948TXN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2016/11/16/d6da84a7-8a68-42a6-ac90-0e63b2cb591f/ENCFF948TXN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read depth, antibody characterized with exemption	NA	NA
ENCFF495MHZ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000FCC	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NFE2	DNA	NA	NA	NA	NA	NA	2014-07-07	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF813HVG/, /files/ENCFF803FZY/, /files/ENCFF552ZAY/	486318	ENCODE Processing Pipeline	7a79922b588af54d6245ba1711aac16f	NA	https://www.encodeproject.org/files/ENCFF495MHZ/@@download/ENCFF495MHZ.bed.gz	NA	NA	NA	archived	s3://encode-public/2017/03/06/4afcc8a7-1698-405b-87b5-59130bc7de6b/ENCFF495MHZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/03/06/4afcc8a7-1698-405b-87b5-59130bc7de6b/ENCFF495MHZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read depth, antibody characterized with exemption	NA	NA
ENCFF150VTD	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000EHG	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA	NA	USF2	DNA	NA	NA	NA	NA	NA	2011-10-29	ENCODE	NA	see document	NA	1, 2	1_1, 2_1	NA	NA	NA	NA	NA	NA	/files/ENCFF001TDO/, /files/ENCFF129CHM/, /files/ENCFF505EIB/, /files/ENCFF935ZZG/	66396	ENCODE Processing Pipeline	374d6db908c4b58361da86e304486f3d	NA	https://www.encodeproject.org/files/ENCFF150VTD/@@download/ENCFF150VTD.bed.gz	NA	NA	NA	released	s3://encode-public/2017/12/09/0c56644a-446a-4842-8448-a7ae1f6c8724/ENCFF150VTD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/12/09/0c56644a-446a-4842-8448-a7ae1f6c8724/ENCFF150VTD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 hg19	archived	low read length, improper control_type of control experiment, low read depth	NA	NA
