"","ENCFF002CXC","ENCFF002DDJ","ENCFF004WYV","ENCFF010UHD","ENCFF019PEL","ENCFF030HWZ","ENCFF043YZF","ENCFF058NMZ","ENCFF076YZO","ENCFF083YCQ","ENCFF085HTY","ENCFF106DAY","ENCFF126BCK","ENCFF144PPR","ENCFF150VTD","ENCFF182QDI","ENCFF213EPU","ENCFF228PSB","ENCFF231TGQ","ENCFF232KAH","ENCFF237UAN","ENCFF249EZR","ENCFF255EOB","ENCFF257RYT","ENCFF272ULO","ENCFF284LRP","ENCFF300XUA","ENCFF312RFN","ENCFF315YAF","ENCFF328XKC","ENCFF337DKJ","ENCFF352HGW","ENCFF380FJL","ENCFF384YDT","ENCFF388AJH","ENCFF392MUM","ENCFF422BXE","ENCFF422NGZ","ENCFF423EMU","ENCFF426DUB","ENCFF429XKT","ENCFF465JKF","ENCFF471ZTZ","ENCFF475TQE","ENCFF482CEV","ENCFF493ABN","ENCFF495MHZ","ENCFF497XOD","ENCFF502KHR","ENCFF507MGL","ENCFF517YCC","ENCFF557DSM","ENCFF558DSF","ENCFF558JBX","ENCFF558VPP","ENCFF564WEB","ENCFF573DRR","ENCFF577UJR","ENCFF580QGA","ENCFF583CIY","ENCFF602OKQ","ENCFF613RNG","ENCFF632NQI","ENCFF638YFC","ENCFF659WAF","ENCFF664XPS","ENCFF676NPW","ENCFF696KPD","ENCFF699ZII","ENCFF710IEF","ENCFF732HOE","ENCFF738TKN","ENCFF772HOY","ENCFF784FIE","ENCFF786WZD","ENCFF799HIG","ENCFF804ABO","ENCFF809MSQ","ENCFF812QPN","ENCFF828JWK","ENCFF833FCO","ENCFF835KAT","ENCFF895QLA","ENCFF911VSD","ENCFF917COW","ENCFF929YBC","ENCFF944GZI","ENCFF948TXN","ENCFF958KNK","ENCFF968KBN","ENCFF990CFV","ENCFF992QZV","ENCFF998YJY"
"-250","0.4108298","0.5581428","0.6715625","0.5213639","0.7794303","0.8053169","0.5951003","0.8157504","0.8337083","0.6283932","0.5785261","0.5856718","0.6834214","0.7498609","0.6394651","0.7069584","0.6638864","0.4031123","0.6297692","0.6916683","0.5592538","0.7091034","0.5857007","0.5538545","0.3677346","0.4688587","0.8164183","0.7055215","0.7133823","0.6823883","0.5498273","0.6277118","0.7209087","0.6305089","0.5204958","0.6862416","0.7262784","0.6843195","0.4993628","0.5995886","0.4180763","0.6914366","0.5381353","0.6368592","0.4923719","0.7435724","0.4749867","0.4648717","0.627154","0.5757444","0.4763625","0.7728755","0.4664454","0.6510261","0.6116498","0.6852954","0.6936265","0.4940653","0.6293245","0.6107011","0.6595151","0.4911513","0.4917494","0.7442936","0.5576222","0.5565959","0.5693806","0.5227986","0.5063394","0.41055","0.5493891","0.5442704","0.6413167","0.5383014","0.7113604","0.6871665","0.6990054","0.739388","0.4311886","0.4046414","0.7434846","0.4301299","0.5694337","0.4106287","0.7616779","0.529423","0.5564436","0.6448603","0.4516927","0.3993033","0.8017125","0.7462079","0.7040762"
"-249","0.4110887","0.5588596","0.6721199","0.5217345","0.778422","0.8053169","0.5954861","0.8159626","0.8339678","0.6290553","0.578875","0.586267","0.6839607","0.7503711","0.6400109","0.707301","0.6648729","0.4033408","0.6307113","0.6920701","0.5595801","0.7099589","0.5866508","0.5539222","0.3678855","0.4683616","0.8171567","0.7069372","0.7136081","0.6834223","0.5500785","0.6287425","0.7215114","0.6303914","0.5202683","0.6867623","0.7257315","0.6848535","0.501062","0.5995886","0.4186373","0.6919137","0.5386729","0.6375081","0.4928236","0.7444026","0.4752189","0.4648142","0.6276288","0.5752235","0.4758913","0.7732592","0.4667566","0.6514561","0.6125438","0.6862352","0.6947447","0.4970326","0.6300998","0.6104375","0.6606553","0.4913588","0.4921602","0.7448605","0.5583516","0.5570919","0.5693806","0.5233966","0.5061236","0.410408","0.5490449","0.5447802","0.6430193","0.5395504","0.7110799","0.6877681","0.6997561","0.7397702","0.431374","0.4051365","0.7441156","0.4311688","0.5694132","0.4105624","0.7627297","0.5296137","0.5576091","0.6455047","0.4523782","0.3995613","0.8026138","0.7470968","0.7046111"
"-248","0.4109334","0.5586746","0.6727428","0.5224758","0.7796824","0.8061224","0.5943287","0.8165287","0.8350061","0.6296477","0.5795317","0.5866071","0.6847158","0.7511596","0.6413755","0.7072746","0.665142","0.403775","0.6305935","0.6925143","0.5595801","0.7104723","0.5872209","0.5542609","0.3680795","0.4686102","0.8174252","0.7092968","0.7130435","0.6835223","0.5504971","0.6293806","0.7225777","0.6299213","0.52078","0.688093","0.725458","0.6851039","0.5025489","0.6001496","0.4184647","0.6922","0.5389118","0.6378975","0.4931017","0.7450512","0.4755507","0.4647855","0.6278661","0.5760917","0.4769907","0.7726837","0.4675172","0.6520867","0.6134379","0.6866111","0.694931","0.495549","0.6298091","0.6096468","0.6607454","0.4919248","0.4932557","0.7452186","0.558853","0.5569679","0.5690199","0.5235461","0.5069868","0.4106446","0.5502495","0.5455009","0.6413167","0.5395504","0.7124825","0.6884483","0.6999437","0.7403434","0.4312257","0.4054924","0.7446835","0.4316017","0.5695563","0.4103856","0.7632556","0.5299952","0.5586081","0.646046","0.4527292","0.3998839","0.8048671","0.7479283","0.7039692"
"-247","0.4100016","0.5594839","0.673005","0.5224228","0.7804386","0.8074651","0.5949074","0.8173778","0.8356982","0.6305537","0.5799011","0.5868197","0.6852911","0.7512059","0.6405568","0.7072746","0.6664574","0.4037293","0.6321244","0.6926835","0.5602328","0.7104723","0.587886","0.5533126","0.3680795","0.4683971","0.817895","0.7116564","0.7125918","0.6841895","0.5511041","0.6291843","0.723134","0.6310965","0.5200409","0.6892502","0.7265518","0.6849871","0.5029737","0.6010847","0.4185941","0.6925181","0.5392701","0.6386762","0.4931712","0.7456739","0.4755507","0.4651303","0.6287681","0.5766126","0.4784043","0.7723","0.4680704","0.651886","0.6141943","0.6871123","0.6951174","0.4970326","0.6298091","0.6114918","0.6612255","0.4922078","0.4940089","0.7456064","0.5601295","0.557743","0.5698314","0.5242189","0.5071486","0.4106446","0.5505937","0.5460107","0.6407491","0.5424646","0.713885","0.6892592","0.6999437","0.7411896","0.4314482","0.4055388","0.7455039","0.4325541","0.5692905","0.4106287","0.7639052","0.5312351","0.5582751","0.6467419","0.4537491","0.4002709","0.8039658","0.7481577","0.7041832"
"-246","0.4103122","0.5596689","0.6737591","0.522211","0.7804386","0.8085392","0.5951003","0.8174485","0.8367365","0.6309022","0.5801679","0.5868622","0.6859742","0.7515306","0.6402838","0.70767","0.6672048","0.4045747","0.6329487","0.6935508","0.5605047","0.7116701","0.587886","0.5525674","0.3678639","0.4689653","0.8179621","0.714488","0.7133823","0.6850901","0.5509995","0.6293806","0.7239221","0.6313315","0.5205526","0.6895395","0.7270987","0.6850371","0.5036109","0.6027679","0.4186373","0.6930907","0.5394493","0.6407528","0.4936924","0.7459593","0.47638","0.4649866","0.6293852","0.5770466","0.4779331","0.7726837","0.4681395","0.6518287","0.6143319","0.6878642","0.6956765","0.4948071","0.6303905","0.6130733","0.6616156","0.492038","0.4940089","0.7462629","0.56095","0.55827","0.5693806","0.5244431","0.50785","0.4107629","0.5516262","0.5459931","0.6401816","0.5437136","0.7136045","0.6897824","0.6999437","0.741681","0.4315594","0.4054305","0.7461349","0.4320346","0.569311","0.411159","0.7641527","0.5314735","0.5579421","0.6473606","0.4537658","0.400959","0.8039658","0.7490179","0.7043971"
"-245","0.4103639","0.5605013","0.6738902","0.5228464","0.7806907","0.8093448","0.5958719","0.8182976","0.8376882","0.6313552","0.5802294","0.5869473","0.6866214","0.752551","0.6405568","0.7078281","0.667713","0.4050546","0.6329487","0.6935085","0.5607766","0.7132101","0.587981","0.553448","0.3682951","0.4684326","0.8190361","0.7149599","0.7131564","0.6857905","0.55146","0.6296751","0.724293","0.6314491","0.5204389","0.6894816","0.7281925","0.685421","0.5044605","0.603329","0.4185941","0.6935361","0.539748","0.639974","0.4937619","0.746089","0.4769772","0.4652165","0.6300973","0.5769598","0.4793466","0.7728755","0.4681395","0.6520867","0.6151571","0.688522","0.6962356","0.4962908","0.6312627","0.613864","0.6622157","0.4926984","0.4936666","0.7466508","0.5616338","0.5587041","0.5702822","0.5249664","0.5082816","0.411094","0.5523146","0.5464677","0.638479","0.5424646","0.7136045","0.6895469","0.7006943","0.7420086","0.432264","0.4059565","0.7461349","0.4322078","0.569311","0.4116451","0.7648333","0.5319504","0.5584416","0.6478503","0.4534648","0.400873","0.8030644","0.7493333","0.7048251"
"-244","0.4108816","0.5604551","0.6740869","0.5236406","0.7824553","0.8101504","0.5954861","0.8192174","0.8380343","0.6317385","0.5806193","0.5874575","0.6871966","0.7531076","0.6411026","0.7079863","0.6678625","0.4054659","0.634244","0.694418","0.5612661","0.7133812","0.5886936","0.5544642","0.3688341","0.4691783","0.8193717","0.7130722","0.7137211","0.6869246","0.5517111","0.6298223","0.724803","0.6315666","0.52078","0.6893659","0.7290129","0.6854878","0.5050977","0.6022068","0.4185078","0.6939814","0.5407633","0.6416613","0.4942137","0.7466338","0.4781714","0.4660786","0.6308094","0.5771334","0.4798178","0.773451","0.4676555","0.6526313","0.6156385","0.6888979","0.696981","0.4918398","0.6313596","0.6141276","0.6632359","0.4932833","0.4938035","0.7469193","0.5621353","0.5591691","0.5711838","0.5247421","0.5083356","0.4116617","0.5521425","0.5462743","0.6396141","0.541632","0.712763","0.6901747","0.7016326","0.7426637","0.4325978","0.4058018","0.746198","0.4315152","0.5692292","0.412065","0.7651735","0.5325703","0.5589411","0.6481854","0.4541336","0.4010665","0.8048671","0.7496487","0.705039"
"-243","0.4113475","0.5612412","0.6747099","0.524223","0.7822032","0.8104189","0.5962577","0.8204203","0.8382073","0.6317385","0.5807425","0.587415","0.6874124","0.7536642","0.6424672","0.7081181","0.66858","0.405763","0.6350683","0.6948199","0.5607766","0.7144079","0.5891211","0.5554125","0.3689203","0.4693559","0.8201101","0.7107126","0.7132693","0.687525","0.5517111","0.6304604","0.724942","0.6321542","0.5207232","0.6902337","0.7292863","0.6859551","0.5067969","0.6018328","0.4184215","0.6943632","0.5415995","0.6416613","0.4937619","0.7469451","0.4781051","0.4665096","0.6315215","0.578262","0.4813884","0.7742183","0.4681741","0.6530326","0.6161887","0.6889919","0.6973537","0.4918398","0.6315534","0.6159726","0.663506","0.4936984","0.4944197","0.7472475","0.5623632","0.5595102","0.5717248","0.5249664","0.5085514","0.412537","0.5524006","0.5466259","0.6401816","0.5407993","0.7130435","0.6902794","0.7014449","0.7435372","0.4333395","0.405709","0.7470184","0.432381","0.5695359","0.4117114","0.7655448","0.5333333","0.5597736","0.6485978","0.4544178","0.4012601","0.8044164","0.7497348","0.7060019"
"-242","0.4123829","0.5611488","0.6750377","0.5235877","0.7799345","0.8098818","0.5972222","0.8209863","0.8388995","0.6322264","0.5812145","0.5879252","0.6879517","0.7544527","0.6427402","0.7089088","0.6692078","0.4063343","0.6351861","0.6959198","0.5611573","0.7154346","0.5896912","0.5560222","0.3685754","0.4696044","0.8205799","0.7111845","0.7141728","0.6880254","0.5520879","0.6312457","0.7253593","0.6315666","0.5212349","0.6906966","0.7306535","0.6860386","0.5063721","0.6027679","0.4184215","0.6946813","0.5418384","0.6414017","0.4941442","0.7475678","0.4786359","0.466136","0.6319487","0.5786093","0.480446","0.7763284","0.468831","0.6531186","0.6166013","0.6897124","0.6971673","0.4933234","0.6321349","0.6154454","0.6639861","0.4942832","0.4942828","0.7474564","0.5629559","0.5600992","0.5729871","0.5242189","0.5093607","0.4127735","0.5534331","0.5470829","0.6401816","0.5412157","0.7136045","0.6907241","0.7023832","0.7440559","0.4338587","0.4056316","0.7477125","0.4330736","0.5698017","0.4117335","0.7662563","0.5337148","0.5594406","0.649036","0.4547522","0.4017116","0.8044164","0.7501362","0.7063229"
"-241","0.4125382","0.5610563","0.6755295","0.5240642","0.7806907","0.8101504","0.5966435","0.8218354","0.8392455","0.6327142","0.5817891","0.5877551","0.6880955","0.7547774","0.6408297","0.7087507","0.669716","0.4060144","0.6355393","0.6962582","0.5613749","0.7157769","0.5893587","0.5570383","0.3684029","0.470066","0.8211841","0.7121284","0.7157538","0.6885257","0.552381","0.6311966","0.7248493","0.6318016","0.5208937","0.691333","0.7312004","0.6866728","0.5070093","0.603516","0.4183999","0.6946813","0.5417787","0.6425698","0.494318","0.748398","0.4791003","0.4663946","0.6329456","0.5783488","0.4809172","0.7769039","0.4690385","0.6538351","0.6166013","0.690245","0.6964219","0.4925816","0.6326194","0.6151819","0.6646762","0.4942644","0.4945567","0.7480829","0.5628191","0.5604092","0.5728068","0.5247421","0.5098462","0.4127025","0.5539494","0.5473642","0.6424518","0.5420483","0.7136045","0.6913519","0.7016326","0.74452","0.4346746","0.405972","0.7485959","0.4328139","0.5701697","0.4119324","0.7675246","0.5347639","0.5604396","0.6496546","0.4553373","0.4010235","0.8057684","0.7510824","0.7077137"
